,cos_avg,cos_std,euler_avg,euler_std,variance_avg,generation,avg_fitness,EA_type
0,0.8250205780923077,0.07454676767064354,0.5581908153527405,0.3148097637032099,0.05957694313837603,46.0,85.566727,GA1
1,0.8018988879948913,0.07847098269013478,0.5192404599695347,0.24861726341193033,0.06725810915993607,46.0,81.753809,GA1
2,0.7293529964645742,0.1275951697994434,0.5610936363186344,0.29157626301232525,0.09243388085720619,46.0,84.289937,GA1
3,0.7731009661868203,0.08059580306121862,0.7049685806089506,0.23804067779318122,0.07807883634963131,46.0,83.045895,GA1
4,0.7969768330568044,0.11461101953491341,0.4447212355262618,0.19435171951183666,0.06888744617540865,46.0,85.577017,GA1
5,0.7748325164156533,0.10227327542107123,0.5949415899375439,0.2828677512336896,0.07708514581318182,46.0,85.348162,GA1
6,0.7857413463950459,0.12317648255097119,0.561080101233336,0.31491659039986475,0.07185721712314691,46.0,84.489514,GA1
7,0.762852248325866,0.12396452001697045,0.554871611074653,0.27696325455135395,0.08301398676690462,46.0,87.599808,GA1
8,0.8164801423879211,0.09179125522890288,0.18197976537772637,0.09874966463281297,0.062274564631736994,46.0,84.966641,GA1
9,0.7591393795397682,0.13309164045931213,0.5205707878982728,0.26929758851305136,0.08245600444493252,46.0,82.558273,GA1
10,0.9699639294845395,0.0035702612428574077,0.324814966018886,0.12693170396273323,0.010000978841902639,46.0,79.4147,GA2
11,0.9716729298013543,0.003161709435028214,0.3307705599164878,0.12742851651128045,0.009430983114664995,46.0,78.26108,GA2
12,0.9705029807664426,0.0032607676484699265,0.30528718268196814,0.12107123505144922,0.009988922974874881,46.0,73.991803,GA2
13,0.971356437189973,0.00318008283072437,0.3246619271262323,0.12156477296106293,0.009718129913830437,46.0,64.155301,GA2
14,0.970389937568427,0.003905541169079214,0.3413768475785154,0.13579883642194404,0.009489412048960864,46.0,76.581805,GA2
15,0.9709914141077403,0.003387884541829333,0.3270051180954581,0.1280768002161759,0.009758268497244857,46.0,72.362391,GA2
16,0.9719851718015182,0.0031516866509824167,0.31904768514741283,0.13170202386678748,0.009287926840245873,46.0,77.832954,GA2
17,0.9692189272336036,0.003557264042002317,0.29837588029495316,0.11805036044014884,0.010195663425294698,46.0,77.818065,GA2
18,0.9722711770923553,0.003128970038583819,0.3493050844309576,0.12762004800649504,0.009251735265341557,46.0,74.76491,GA2
19,0.9713608854605158,0.00349010278833088,0.3327399135141091,0.14008873547057718,0.00962066952111162,46.0,73.151072,GA2
