,cos_avg,cos_std,euler_avg,euler_std,variance_avg,generation,avg_fitness,EA_type
0,0.8184668639393117,0.054572348866104174,0.3292839715819983,0.12455952141912052,0.06022895652072919,46.0,50.214143,GA1
1,0.7783101637342027,0.12575559238333878,0.4524260098223817,0.2625002170504251,0.07287076490000081,46.0,55.390521,GA1
2,0.7111497303037422,0.13518140284197463,0.48689237957461595,0.2538756413257711,0.10041443834066666,46.0,41.630604,GA1
3,0.7539647973160529,0.11633023023409904,0.47596239186769823,0.214774298626611,0.08176447012241826,46.0,36.714686,GA1
4,0.7969711068570875,0.1053454147690277,0.35674626142563876,0.17086402322457542,0.06859450820392635,46.0,58.44569,GA1
5,0.7884846698568277,0.07058009625998221,0.383220767606263,0.1663317282222254,0.07222223955251497,46.0,41.907562,GA1
6,0.834781801270076,0.054973791193636073,0.6078894256127289,0.24469835640841336,0.05636817301280593,46.0,45.878126,GA1
7,0.7987279443754133,0.06894299829705647,0.5761094838466744,0.2954324207214225,0.07092898617000609,46.0,45.9211,GA1
8,0.7372581443515199,0.11766101200685405,0.6147479723237239,0.2526988838783986,0.08882096311951777,46.0,27.196257,GA1
9,0.7631539197752599,0.13956328640835763,0.2231010550772651,0.1378709171376465,0.08115534121625352,46.0,42.899025,GA1
10,0.9735450326375168,0.003049265740728611,0.38328372869588867,0.14137932993866364,0.008871117487005819,46.0,19.935679,GA2
11,0.9768795142733268,0.0022745572652053923,0.5398154036287464,0.1858918425937375,0.007714350944581429,46.0,19.650492,GA2
12,0.9687493080872135,0.003663435523277353,0.3000671028638989,0.11995194501723282,0.010228616366351695,46.0,19.917029,GA2
13,0.9692872069081536,0.003524880435345291,0.30336679385945614,0.11477213122154535,0.010253619325427957,46.0,19.894958,GA2
14,0.9690102301431579,0.0036695080466702633,0.3005562977328282,0.12103641114536323,0.010048800397705481,46.0,19.929638,GA2
15,0.9704246539875597,0.003374267444483688,0.31423638632597645,0.12030093264602876,0.009983676360740788,46.0,19.571373,GA2
16,0.97214330937658,0.0031619284542367338,0.33498243192016924,0.13052034238792648,0.009474443782416084,46.0,20.01002,GA2
17,0.9733019742682528,0.0031311864609521378,0.37963017372011976,0.1436454650996514,0.008985964803766225,46.0,19.883909,GA2
18,0.9690395744554302,0.0037074533817304167,0.30105814499863576,0.12137904441061467,0.010275885171555683,46.0,19.470478,GA2
19,0.969637905495342,0.0035359626381852123,0.30591055849633203,0.12165610794399964,0.010046776281311598,46.0,19.620027,GA2
