gen avg max std
0.000000 3.145500 87.139358 23.492701
1.000000 74.537779 87.199358 29.519282
2.000000 75.058712 88.939688 28.581421
3.000000 67.545434 87.199358 35.437937
4.000000 69.011507 87.297882 34.135539
5.000000 67.891328 87.297882 35.074891
6.000000 74.773396 88.032799 29.415086
7.000000 75.811265 88.219688 29.312724
8.000000 70.072986 88.219688 33.335070
9.000000 70.845697 88.219688 33.334149
10.000000 69.460368 89.382264 33.707162
11.000000 72.782394 90.916415 31.269563
12.000000 73.264444 90.916415 30.284884
13.000000 75.932406 90.916415 26.881707
14.000000 72.623083 90.916415 30.286824
15.000000 73.236818 90.916415 29.265054
16.000000 75.900210 90.916415 27.647941
17.000000 73.799730 90.916415 30.054058
18.000000 74.005812 90.916415 29.952546
19.000000 74.007033 90.916415 30.190263
20.000000 76.547651 90.916415 28.777353
21.000000 70.988970 90.916415 32.928525
22.000000 76.124765 90.713025 27.997223
23.000000 69.898240 90.713025 33.625413
24.000000 68.880704 90.713025 34.884983
25.000000 76.555381 89.043229 27.184058
26.000000 75.809405 90.139688 28.478393
27.000000 76.363307 90.139688 27.494232
28.000000 77.139492 89.370571 25.814936
29.000000 76.192461 89.398742 27.451012
30.000000 69.486676 89.398742 32.678776
