gen avg max std
0.000000 -5.358217 15.135935 3.519505
1.000000 -3.002455 21.308574 6.375676
2.000000 -1.440515 19.936089 7.335931
3.000000 -0.286991 21.578423 8.699672
4.000000 2.303010 20.592249 9.825665
5.000000 6.259904 19.936089 10.265485
6.000000 9.068911 20.713245 10.607536
7.000000 12.862104 27.136217 9.926757
8.000000 13.964320 27.136217 9.993099
9.000000 17.117929 27.136217 8.067429
10.000000 12.850153 27.136217 11.036592
11.000000 13.408541 27.136217 10.763864
12.000000 12.019575 27.136217 10.808175
13.000000 13.129914 27.136217 10.321582
14.000000 12.892566 21.608123 10.861557
15.000000 15.998332 24.130918 8.472547
16.000000 15.020092 24.130918 9.866491
17.000000 13.572703 24.130918 10.476188
18.000000 18.060981 24.130918 6.554194
19.000000 16.626307 24.151323 8.557374
20.000000 17.502666 24.130918 8.182448
21.000000 17.727324 21.608123 8.231857
22.000000 17.343810 23.887916 8.647593
23.000000 18.275639 24.158760 7.790993
24.000000 17.374190 24.158760 8.676335
25.000000 18.968609 25.868187 6.828074
26.000000 18.099048 25.868187 8.255551
27.000000 18.729515 25.868187 7.487364
28.000000 16.996503 25.868187 8.598925
29.000000 17.716300 25.868187 8.528531
30.000000 15.910308 25.868187 9.972347
