gen avg max std
0.000000 0.135247 47.926955 10.483187
1.000000 5.455776 64.854804 12.702501
2.000000 13.785405 86.208064 14.183720
3.000000 20.600369 87.249437 14.292396
4.000000 24.660806 83.959053 8.711628
5.000000 23.120780 48.026190 4.460286
6.000000 23.876067 74.466211 6.971518
7.000000 24.123896 74.105330 6.600562
8.000000 24.786406 73.750785 7.521091
9.000000 25.234074 65.759724 7.123755
10.000000 24.900368 65.759724 6.568677
11.000000 25.363918 65.759724 7.614232
12.000000 26.104607 65.759724 7.543006
13.000000 28.163652 65.793424 9.470951
14.000000 30.183333 65.767552 9.936352
15.000000 31.333899 65.840905 9.961529
16.000000 34.535732 83.537605 12.383590
17.000000 38.183608 65.771489 12.132263
18.000000 41.595504 74.618184 11.522872
19.000000 45.061060 65.834582 10.883962
20.000000 49.685293 74.626680 10.701244
21.000000 52.261553 65.840905 8.513968
22.000000 56.829351 74.521490 7.129736
23.000000 58.524817 74.498710 6.388360
24.000000 59.793051 65.847267 5.787993
25.000000 60.038174 65.779410 5.662692
26.000000 60.309653 65.834582 4.288923
27.000000 60.730985 74.624975 4.490596
28.000000 60.980780 74.521490 4.503079
29.000000 61.832129 74.633530 4.598560
30.000000 61.593752 65.875317 4.388168
31.000000 61.178436 74.661406 4.503152
32.000000 61.367640 65.779410 4.378708
33.000000 61.907003 65.777424 4.342897
34.000000 62.328501 83.540096 4.744795
35.000000 61.846640 65.795442 4.350688
36.000000 63.164561 65.873131 3.998779
37.000000 63.761609 65.895207 3.674181
38.000000 64.719291 65.917781 2.838357
39.000000 65.134934 74.633530 2.478431
40.000000 64.357397 74.656120 3.373907
