gen avg max std
0.000000 1.123026 87.618586 16.416180
1.000000 7.460230 86.666602 19.548495
2.000000 12.606273 86.666602 20.172977
3.000000 16.711424 75.231679 19.489589
4.000000 23.343644 75.231679 22.221752
5.000000 26.959016 87.211736 24.233687
6.000000 28.048241 86.593424 24.827567
7.000000 30.145930 86.593424 25.583819
8.000000 32.588026 88.754995 26.284193
9.000000 31.276251 88.754995 28.695230
10.000000 36.977520 87.040905 27.617157
11.000000 39.574143 87.040905 28.468822
12.000000 41.663368 89.615851 30.574976
13.000000 43.623620 89.615851 29.333228
14.000000 45.147279 87.193424 30.648560
15.000000 46.001151 87.993424 32.507099
16.000000 46.612550 90.013791 31.636489
17.000000 49.140508 90.013791 31.488927
18.000000 48.537817 90.013791 30.881615
19.000000 50.494485 90.013791 32.032082
20.000000 52.662839 90.013791 30.309707
21.000000 49.544220 90.013791 30.088832
22.000000 55.645723 90.013791 30.300625
23.000000 53.186181 91.962129 30.222593
24.000000 52.415936 91.962129 28.989366
25.000000 55.379721 90.243021 28.895748
26.000000 54.813454 90.013791 29.477668
27.000000 58.895522 90.013791 29.030639
28.000000 58.374097 91.559745 27.515949
29.000000 59.483000 91.559745 26.779132
30.000000 61.367750 91.391187 25.455478
31.000000 60.563421 91.559745 27.345075
32.000000 63.051342 91.559745 26.952200
33.000000 61.827381 91.559745 26.799860
34.000000 63.474351 91.559745 26.588599
35.000000 69.698570 91.591187 23.609869
36.000000 70.732759 91.559745 24.251160
37.000000 72.075622 91.559745 23.778521
38.000000 73.855192 91.759745 24.027843
39.000000 76.562490 91.759745 20.336508
40.000000 72.665712 91.759745 24.146950
