gen avg max std
0.000000 1.230217 65.873131 13.188471
1.000000 8.469629 74.744250 16.717122
2.000000 15.288081 75.054579 19.547157
3.000000 20.283606 85.813791 19.821578
4.000000 23.120774 85.813791 20.198006
5.000000 25.967460 84.440905 23.737325
6.000000 28.108635 84.440905 25.665337
7.000000 30.544001 91.559745 27.363408
8.000000 37.109983 89.050607 28.802945
9.000000 41.025749 89.050607 26.847082
10.000000 38.273310 89.050607 29.770996
11.000000 39.764666 89.050607 30.843404
12.000000 38.348146 89.050607 30.091442
13.000000 41.216636 89.050607 31.059881
14.000000 43.802184 89.095207 29.535807
15.000000 46.027376 89.095207 28.972588
16.000000 44.373865 87.591410 30.346851
17.000000 45.702893 89.388733 29.620587
18.000000 51.455025 89.388733 29.749807
19.000000 49.215582 89.388733 30.311428
20.000000 48.592163 89.388733 29.243232
21.000000 51.586340 89.388733 29.730505
22.000000 55.166826 89.557367 29.583144
23.000000 52.773912 89.557367 29.516282
24.000000 53.793387 89.557367 29.450150
25.000000 48.703503 89.557367 30.397974
26.000000 55.170301 89.557367 27.742701
27.000000 51.397716 89.557367 30.241377
28.000000 56.778935 88.017915 26.694820
29.000000 55.078413 89.499681 29.102645
30.000000 56.295508 89.499681 29.650519
31.000000 56.167502 88.393424 29.629913
32.000000 55.912385 89.393424 29.837394
33.000000 58.587621 89.393424 30.296800
34.000000 58.438374 89.393424 31.954535
35.000000 63.196647 89.593424 29.229939
36.000000 65.724752 89.593424 30.134960
37.000000 61.372647 89.193424 30.479079
38.000000 66.343500 89.193424 28.940844
39.000000 71.452951 88.724654 26.206416
40.000000 65.770780 89.015851 28.262692
