gen avg max std
0.000000 -1.990089 39.466611 8.091071
1.000000 1.528699 39.982720 10.351347
2.000000 3.772941 39.982720 11.358879
3.000000 6.829809 39.982720 12.688723
4.000000 8.954589 48.439318 13.417074
5.000000 11.272781 66.721885 15.051065
6.000000 10.290590 57.368788 16.668461
7.000000 9.946972 48.643414 16.677428
8.000000 10.008251 48.643414 17.164709
9.000000 13.208685 75.506939 18.503512
10.000000 12.168637 57.502832 18.311137
11.000000 14.444293 65.978977 18.124094
12.000000 13.281074 75.454823 18.000990
13.000000 15.263887 75.454823 18.785028
14.000000 13.411581 66.368788 18.880663
15.000000 13.171664 84.330082 19.249934
16.000000 12.782694 66.222348 19.585625
17.000000 12.845688 66.222348 19.064398
18.000000 11.533387 66.222348 18.373325
19.000000 12.628686 66.624722 18.886711
20.000000 12.364575 66.222348 19.124839
21.000000 15.890271 57.727000 19.400946
22.000000 15.103621 57.727000 20.987662
23.000000 11.263602 57.727000 18.711854
24.000000 10.088920 57.333573 16.954141
25.000000 11.057869 57.333573 17.540812
26.000000 12.492230 57.333573 18.525216
27.000000 13.723122 66.206986 18.907403
28.000000 13.489019 66.206986 19.062973
29.000000 17.549651 66.206986 19.846355
30.000000 13.826764 66.206986 19.869367
31.000000 16.113003 66.206986 19.854115
32.000000 14.090092 66.127882 18.792109
33.000000 16.300588 66.127882 20.472700
34.000000 19.783771 84.271054 20.574484
35.000000 20.017767 66.116678 21.640292
36.000000 22.074407 66.116678 20.495198
37.000000 21.730873 66.191858 21.379363
38.000000 27.649728 75.127882 21.605613
39.000000 25.282773 84.391054 22.158856
40.000000 27.669734 86.759599 23.262027
