gen avg max std
0.000000 4.719205 89.347040 22.886531
1.000000 68.370675 89.953561 32.911150
2.000000 65.387057 89.347040 34.349508
3.000000 71.402669 90.613561 30.883611
4.000000 69.676543 90.613561 32.439946
5.000000 70.082334 89.558539 31.046547
6.000000 69.053997 89.558539 32.032574
7.000000 73.079090 89.558539 30.343489
8.000000 73.104383 89.666611 30.343006
9.000000 65.657066 89.666611 36.677112
10.000000 75.117457 90.773025 28.202686
11.000000 74.508232 90.773025 29.679718
12.000000 77.521625 90.716420 26.497008
13.000000 71.292809 90.716420 32.224734
14.000000 81.822020 90.073561 19.231376
15.000000 74.692719 89.350924 30.569959
16.000000 78.099194 89.484008 25.961953
17.000000 77.945101 89.347040 25.509301
18.000000 69.883928 88.224654 33.990136
19.000000 75.499481 88.224654 27.389575
20.000000 73.116455 90.139688 29.863730
21.000000 76.584112 90.139688 26.266748
22.000000 77.053523 88.224654 25.660144
23.000000 76.784254 87.953532 26.524680
24.000000 74.952624 89.353561 28.819193
25.000000 76.741592 87.237882 26.499133
26.000000 80.793357 87.462158 21.468383
27.000000 78.118188 87.237882 24.718942
28.000000 74.284575 90.919688 29.249493
29.000000 77.894375 90.919688 25.126916
30.000000 80.418734 90.979688 19.974575
