gen avg max std
0.000000 -0.735905 56.069505 10.684023
1.000000 4.568686 84.275851 13.164576
2.000000 11.941798 56.598083 11.572340
3.000000 19.139812 86.179927 11.764064
4.000000 22.380075 65.278574 5.309468
5.000000 23.282774 65.300500 5.003996
6.000000 24.005485 74.338145 7.181910
7.000000 23.167831 65.654364 5.616562
8.000000 23.240843 56.563850 5.096718
9.000000 23.139404 47.988733 4.397171
10.000000 23.442809 56.664946 5.612502
11.000000 23.687327 56.857963 5.626409
12.000000 25.108961 86.364975 9.771910
13.000000 25.409717 86.796168 9.573225
14.000000 25.164707 65.621574 7.480279
15.000000 26.626563 74.360124 8.465332
16.000000 29.014760 84.154702 10.947915
17.000000 30.496975 73.919132 11.150853
18.000000 33.983315 86.254650 13.180147
19.000000 36.619423 74.327967 11.588074
20.000000 41.154596 84.567060 11.265148
21.000000 44.262935 84.798299 10.716741
22.000000 45.689573 84.168374 8.594686
23.000000 47.775923 87.573350 9.879359
24.000000 49.904828 65.879703 8.424337
25.000000 49.998888 88.519145 9.173255
26.000000 52.201747 83.418717 9.016058
27.000000 52.143830 84.961905 9.639805
28.000000 53.968555 84.875591 8.987616
29.000000 55.832000 89.144219 7.615843
30.000000 57.826165 86.389477 7.404792
31.000000 57.723955 90.247951 7.359211
32.000000 59.044750 86.865891 6.553054
33.000000 59.964062 87.083176 6.544588
34.000000 61.599214 86.183652 6.216802
35.000000 61.947723 84.214247 5.549341
36.000000 62.217283 87.319830 6.059183
37.000000 62.200928 86.943319 5.291212
38.000000 61.850161 85.244317 5.117276
39.000000 61.909342 85.589182 5.194193
40.000000 62.743946 86.910795 5.726650
