gen avg max std
0.000000 -2.749193 48.125069 9.610812
1.000000 -0.337112 39.228559 11.953367
2.000000 3.738478 57.237949 15.833666
3.000000 11.245148 66.013548 18.635026
4.000000 20.888418 94.785064 17.601111
5.000000 28.978162 94.785064 14.541987
6.000000 35.117797 66.269900 10.372086
7.000000 41.793886 94.852506 8.490615
8.000000 42.471387 94.801503 8.095278
9.000000 40.857500 66.269900 5.230639
10.000000 41.050348 75.013548 5.404291
11.000000 42.554068 75.013548 6.807252
12.000000 42.570443 75.119467 7.039017
13.000000 41.480692 66.028738 4.897465
14.000000 42.659674 94.785064 7.368973
15.000000 42.312740 94.900134 7.267391
16.000000 42.658907 94.900134 7.208586
17.000000 43.432819 75.013548 7.181709
18.000000 43.491015 94.900134 7.551916
19.000000 43.663291 75.179917 6.100675
20.000000 44.564816 94.852506 7.105488
21.000000 45.913708 94.785064 7.354717
22.000000 47.731987 88.003942 6.044352
23.000000 49.131440 57.197882 2.955120
24.000000 50.668171 75.062464 5.154736
25.000000 49.875849 75.168118 4.317494
26.000000 50.382912 94.918596 5.755781
27.000000 50.469175 88.738543 5.609710
28.000000 50.198402 65.881903 3.986383
29.000000 50.642589 94.785064 5.356240
30.000000 50.945912 84.816175 5.070411
31.000000 50.946130 75.094638 4.934252
32.000000 51.570907 65.981407 4.514511
33.000000 51.573128 66.018586 4.516252
34.000000 51.895741 94.852506 5.646865
35.000000 52.149280 86.208083 5.353849
36.000000 53.015365 86.408083 5.543401
37.000000 54.482600 85.944801 5.497196
38.000000 55.010022 74.630099 4.973826
39.000000 55.324164 86.188859 4.913463
40.000000 58.108427 86.408083 4.324902
