gen avg max std
0.000000 4.882889 87.151054 23.013263
1.000000 13.384062 91.586267 28.106095
2.000000 31.643134 91.923229 33.481010
3.000000 48.646207 91.697040 31.133828
4.000000 70.289229 91.446497 23.997211
5.000000 86.526654 93.616695 3.000110
6.000000 87.300386 91.159688 0.723136
7.000000 87.220711 89.378539 0.365088
8.000000 87.354950 91.696695 0.753008
9.000000 87.449456 93.436695 0.927451
10.000000 87.320691 91.810119 0.623724
11.000000 87.366687 90.373561 0.646263
12.000000 87.353863 91.472828 0.668203
13.000000 87.446036 93.616695 0.883243
14.000000 87.511606 93.436695 0.936377
15.000000 87.609482 93.436695 1.029584
16.000000 87.601020 90.493561 0.902003
17.000000 87.623755 90.582907 0.906899
18.000000 87.835502 90.910675 1.017844
19.000000 88.089788 91.842264 1.152711
20.000000 88.339215 89.971940 1.122835
21.000000 88.875220 91.219688 1.054019
22.000000 89.495204 90.666659 0.191566
23.000000 89.574162 91.459688 0.261840
24.000000 89.622345 91.079214 0.215103
25.000000 89.640512 90.727798 0.216456
26.000000 89.662118 90.609900 0.207644
27.000000 89.666946 90.589641 0.201915
28.000000 89.674462 90.589641 0.194646
29.000000 89.704188 91.329900 0.247028
30.000000 89.757557 91.329900 0.263549
31.000000 89.727948 90.674823 0.224124
32.000000 89.763582 90.539827 0.213501
33.000000 89.791360 90.899827 0.227368
34.000000 89.844278 90.673561 0.216628
35.000000 89.877864 90.656420 0.175420
36.000000 89.899060 90.626267 0.156652
37.000000 89.944125 90.742972 0.136629
38.000000 90.007682 92.701880 0.273840
39.000000 89.965311 90.622972 0.087143
40.000000 89.971940 89.971940 0.000000
