gen avg max std
0.000000 -3.572834 39.179917 8.112802
1.000000 -0.718803 39.165189 11.534815
2.000000 3.840310 48.216175 15.480605
3.000000 6.810523 48.216175 17.465923
4.000000 11.314191 48.216175 18.544108
5.000000 17.581804 66.159358 19.632279
6.000000 15.502140 66.162270 20.653723
7.000000 20.919134 66.162270 21.609134
8.000000 22.614998 66.162270 22.661533
9.000000 21.882275 74.974134 23.203367
10.000000 24.792100 66.162270 22.956357
11.000000 23.679498 66.162270 23.870257
12.000000 26.801036 66.162270 24.475895
13.000000 27.675409 66.162270 26.303870
14.000000 26.891872 66.162270 26.616452
15.000000 24.277634 66.162270 26.543386
16.000000 25.963021 75.162270 26.990697
17.000000 23.363264 75.162270 27.747813
18.000000 23.589719 66.162270 27.303649
19.000000 23.818278 94.852506 27.163886
20.000000 24.522276 66.162270 26.746132
21.000000 25.131420 66.197882 26.571259
22.000000 28.895026 75.162270 27.571057
23.000000 32.239502 74.964519 28.790345
24.000000 31.514970 75.269900 28.627076
25.000000 34.502778 74.964519 28.540892
26.000000 34.978162 75.070411 29.836907
27.000000 40.742777 75.162270 29.121221
28.000000 42.391078 75.070411 29.208872
29.000000 41.169061 75.070411 29.857595
30.000000 43.667626 75.070411 28.586304
31.000000 41.472747 75.162270 30.617513
32.000000 45.394294 74.964519 28.754064
33.000000 48.490140 75.162270 27.638394
34.000000 44.087584 86.591858 29.622322
35.000000 45.607817 86.591858 30.114701
36.000000 45.264853 86.591858 31.465696
37.000000 40.282258 94.785064 31.793792
38.000000 42.145343 94.785064 30.194256
39.000000 40.184129 86.591858 31.539369
40.000000 39.045134 86.591858 31.340423
