gen avg max std
0.000000 7.702640 88.994024 25.222141
1.000000 19.090859 86.852892 29.827105
2.000000 43.734084 90.223266 29.199618
3.000000 65.266164 87.696796 7.792011
4.000000 69.366795 89.543414 5.869893
5.000000 71.998812 89.669573 6.878486
6.000000 73.462522 89.852892 6.701702
7.000000 77.036036 92.938336 5.881384
8.000000 78.081844 89.776695 5.209219
9.000000 78.863621 92.878336 5.705437
10.000000 79.446093 92.878336 5.916195
11.000000 80.416656 89.252892 6.110665
12.000000 81.972331 89.466794 6.140357
13.000000 83.902009 89.546695 5.687786
14.000000 86.227638 93.542720 3.958573
15.000000 87.645438 90.242160 1.131579
16.000000 88.214339 92.938336 1.093039
17.000000 88.598179 89.608142 0.684599
18.000000 88.976358 90.212892 0.328615
19.000000 89.079330 89.966695 0.194675
20.000000 89.126787 90.092892 0.167598
21.000000 89.161835 91.768142 0.279460
22.000000 89.134676 89.886794 0.169959
23.000000 89.167714 90.206695 0.199861
24.000000 89.178237 90.988142 0.231807
25.000000 89.207104 91.343414 0.318794
26.000000 89.199118 91.869362 0.327842
27.000000 89.207987 91.929362 0.350364
28.000000 89.160569 89.726695 0.168912
29.000000 89.173115 90.318708 0.205485
30.000000 89.202940 90.872892 0.253982
31.000000 89.185514 89.760103 0.188582
32.000000 89.239387 90.987729 0.274265
33.000000 89.227592 90.152892 0.228533
34.000000 89.246741 90.752892 0.275154
35.000000 89.255221 90.687729 0.258837
36.000000 89.271831 90.623536 0.231881
37.000000 89.312973 91.472892 0.343342
38.000000 89.367892 90.863536 0.311798
39.000000 89.385958 91.652892 0.357640
40.000000 89.476946 90.932892 0.323689
