gen avg max std
0.000000 -1.027363 33.164890 11.148180
1.000000 5.459314 37.385376 14.143825
2.000000 13.238981 61.170627 15.632420
3.000000 16.120325 72.832244 17.898453
4.000000 23.176722 79.169675 19.429219
5.000000 27.053359 79.169675 19.030429
6.000000 29.374012 79.169675 18.619593
7.000000 34.308068 79.169675 21.818988
8.000000 38.013411 79.085269 22.808420
9.000000 41.376040 79.358169 24.236233
10.000000 43.846133 79.358169 25.287314
11.000000 40.010700 85.870008 27.928649
12.000000 41.915208 85.870008 28.586503
13.000000 55.520395 87.660707 28.094025
14.000000 56.378808 87.361750 29.963211
15.000000 64.520971 88.043906 26.113817
16.000000 66.533977 87.797031 25.697598
17.000000 69.350058 88.814654 24.019961
18.000000 68.929504 88.814654 27.078294
19.000000 73.217513 88.521720 21.253487
20.000000 69.990086 88.561820 25.131460
21.000000 72.749330 88.561820 24.486524
22.000000 75.310629 89.131904 22.716992
23.000000 72.752218 89.131904 23.791866
24.000000 71.160452 89.131904 26.204468
25.000000 73.374109 89.208079 26.835611
26.000000 69.752776 89.208079 28.445074
27.000000 73.553652 90.763723 23.649995
28.000000 72.200718 89.131904 24.618223
29.000000 72.426283 89.131904 25.898972
30.000000 75.123213 89.131904 23.073044
