gen avg max std
0.000000 13.800336 92.394865 32.714210
1.000000 29.762760 92.939318 38.924228
2.000000 51.418842 92.394865 38.765674
3.000000 80.545212 94.228891 22.105638
4.000000 90.860902 93.683754 1.212803
5.000000 91.559391 93.734024 0.843639
6.000000 91.662263 93.520945 0.773102
7.000000 92.168838 94.192404 0.610277
8.000000 92.476046 94.475214 0.243492
9.000000 92.487874 93.869516 0.265892
10.000000 92.485859 93.849362 0.231492
11.000000 92.548044 94.701683 0.374689
12.000000 92.558014 93.931733 0.351014
13.000000 92.496993 93.820945 0.271643
14.000000 92.497090 94.034024 0.269455
15.000000 92.522404 94.066708 0.318418
16.000000 92.531925 94.156695 0.336378
17.000000 92.539884 94.300945 0.357915
18.000000 92.489761 94.312404 0.299592
19.000000 92.513448 94.235214 0.295223
20.000000 92.545233 94.000945 0.328929
21.000000 92.574813 93.871733 0.338225
22.000000 92.617969 94.372404 0.389416
23.000000 92.729948 94.348891 0.453394
24.000000 92.713343 94.348012 0.472184
25.000000 92.716234 94.415214 0.440273
26.000000 92.825039 94.341683 0.500269
27.000000 92.843932 94.066708 0.445128
28.000000 92.953941 94.180945 0.492079
29.000000 93.021398 94.540945 0.479063
30.000000 93.111433 94.223558 0.402386
31.000000 93.156703 94.221683 0.402918
32.000000 93.202350 94.600945 0.421277
33.000000 93.218611 94.552404 0.410030
34.000000 93.200736 94.271096 0.378738
35.000000 93.158670 94.480945 0.372019
36.000000 93.167631 94.295214 0.344620
37.000000 93.170707 94.636054 0.399328
38.000000 93.292987 94.618596 0.389040
39.000000 93.309266 94.384826 0.375133
40.000000 93.204768 94.624826 0.350941
