gen avg max std
0.000000 1.458221 56.742332 14.430048
1.000000 8.903295 66.454823 17.201399
2.000000 19.282362 75.206986 17.329793
3.000000 30.467464 86.813791 14.994601
4.000000 37.294968 87.391410 15.976639
5.000000 41.730609 85.967552 16.557524
6.000000 51.271524 88.393424 12.976404
7.000000 59.044869 89.017915 6.743729
8.000000 61.034229 88.818586 8.713852
9.000000 60.456400 87.013791 7.362701
10.000000 60.876283 90.391187 7.921024
11.000000 61.337886 87.411736 8.947980
12.000000 61.358277 85.813791 7.717759
13.000000 61.607214 86.449397 8.325566
14.000000 62.637219 87.193424 9.036143
15.000000 63.220111 88.266602 9.541425
16.000000 65.452898 88.466602 10.590565
17.000000 65.334069 87.015851 10.326099
18.000000 67.161433 87.793424 10.112380
19.000000 69.169994 89.843021 10.401430
20.000000 69.815030 89.213791 10.789308
21.000000 73.833442 87.993424 9.673826
22.000000 74.794799 88.626214 8.201092
23.000000 76.582416 91.559745 8.532563
24.000000 76.601067 91.559745 8.845184
25.000000 79.980015 87.793424 6.943649
26.000000 79.854082 89.218586 7.341240
27.000000 82.977684 89.993424 5.042171
28.000000 82.836775 89.823649 5.115344
29.000000 83.850080 89.823649 4.448662
30.000000 84.242133 89.697367 4.129402
31.000000 83.479277 88.297441 4.614016
32.000000 85.034723 90.018586 2.992318
33.000000 85.178398 90.413791 3.302902
34.000000 85.074086 88.621114 3.087431
35.000000 86.034894 89.218586 0.713079
36.000000 86.273587 89.823649 0.610404
37.000000 86.328567 90.359745 0.638680
38.000000 86.256946 88.193424 0.379852
39.000000 86.286972 89.823649 0.449994
40.000000 86.341674 87.266602 0.249892
