gen avg max std
0.000000 10.073012 93.294055 30.644429
1.000000 21.481261 92.718596 35.202753
2.000000 48.845926 92.829516 35.621466
3.000000 75.103861 93.409567 17.410280
4.000000 87.808491 92.989365 4.838374
5.000000 89.738800 93.202788 2.011487
6.000000 90.422386 93.207043 1.859183
7.000000 91.264641 93.202788 1.186010
8.000000 91.717074 93.202788 0.398227
9.000000 91.709193 93.375050 0.379505
10.000000 91.745624 93.409567 0.425153
11.000000 91.762614 93.409567 0.396089
12.000000 91.873312 93.202788 0.451109
13.000000 91.853383 93.132142 0.443056
14.000000 92.015845 93.409567 0.488761
15.000000 92.119649 93.409567 0.480882
16.000000 92.194714 93.937405 0.482547
17.000000 92.339875 93.872124 0.452012
18.000000 92.384532 93.802788 0.446000
19.000000 92.424977 93.409567 0.434012
20.000000 92.579932 93.596054 0.469416
21.000000 92.412603 94.209567 0.438965
22.000000 92.584172 93.409567 0.391312
23.000000 92.543805 93.409567 0.430599
24.000000 92.499034 93.802788 0.457746
25.000000 92.531654 93.409567 0.398592
26.000000 92.557660 93.409567 0.415607
27.000000 92.629513 93.409567 0.405105
28.000000 92.650890 93.409567 0.346738
29.000000 92.707372 93.882006 0.264183
30.000000 92.682714 93.409567 0.212223
31.000000 92.729987 93.596054 0.197785
32.000000 92.690645 93.336168 0.115521
33.000000 92.683635 93.336168 0.086500
34.000000 92.680039 93.409567 0.082394
35.000000 92.691839 93.458358 0.105944
36.000000 92.688104 93.409567 0.090093
37.000000 92.698295 93.409567 0.127129
38.000000 92.702869 93.409567 0.129255
39.000000 92.692530 93.336168 0.095160
40.000000 92.698844 93.724826 0.128676
