gen avg max std
0.000000 -2.243133 57.018586 11.316487
1.000000 -1.041313 56.959745 11.297274
2.000000 3.702332 75.269900 15.691638
3.000000 12.064160 66.269900 17.567236
4.000000 24.024106 75.269900 14.677839
5.000000 30.790628 57.013548 9.476213
6.000000 37.731914 66.179917 8.339453
7.000000 41.640082 66.269900 5.772065
8.000000 41.824782 75.269900 6.605663
9.000000 41.647512 65.515365 5.223429
10.000000 42.646424 75.070411 6.229172
11.000000 43.417038 94.785064 8.196403
12.000000 44.037035 94.785064 8.187086
13.000000 44.188386 94.852506 8.836225
14.000000 43.322679 94.852506 7.109299
15.000000 44.567832 94.852506 8.682677
16.000000 45.147294 94.785064 8.191899
17.000000 46.408738 94.852506 8.414703
18.000000 49.066400 94.790514 8.046791
19.000000 49.438143 75.269900 4.820163
20.000000 49.560988 94.785064 5.260687
21.000000 50.741677 94.785064 7.530923
22.000000 49.744403 74.482329 4.235107
23.000000 50.339098 94.785064 6.722449
24.000000 50.011334 87.054364 5.593794
25.000000 50.411416 85.026190 5.520922
26.000000 51.513591 94.900134 7.986430
27.000000 51.404789 87.873851 7.091098
28.000000 51.343251 94.852506 8.207469
29.000000 51.856802 87.672063 7.480151
30.000000 51.657280 88.542067 7.302109
31.000000 51.800162 94.801503 7.791178
32.000000 51.357994 91.004738 7.063005
33.000000 51.658234 86.806409 7.545177
34.000000 51.256633 74.978977 6.043184
35.000000 51.065350 74.603070 6.147303
36.000000 53.104095 88.449114 8.758760
37.000000 52.623324 89.127882 8.423747
38.000000 52.013521 94.852506 8.133019
39.000000 53.355068 93.431292 8.844225
40.000000 53.911943 90.404738 8.408372
